Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .	163	35
Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .	743	35
The circuit 's overall production rate on a weekly basis is now in excess of an average of 40,000 tonnes per day , with volumes in excess of 50,000 tonnes per day being reached on individual days .	40,000	42
The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .	15.86	3
The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .	2.803	3
The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .	4.5	7
According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .	1.9	3
Finnish Bank of +_land reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .	21.3	3
Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .	47.0	3
Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .	51.3	3
Also Lemmink+Æinen 's profit for accounting period went up to EUR 3.1 mn from EUR -24.5 mn a year ago .	3.1	3
At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .	39.6	3
Aviation Systems Maintenance is based in Kansas and generated net sales of USD 2.6 million for 2008 .	2.6	36
Diluted earnings per share ( EPS ) rose to EUR 0.29 from EUR 0.05 .	0.29	3
Diluted earnings per share ( EPS ) rose to EUR 1.05 from EUR 0.64 .	1.05	3
Diluted earnings per share ( EPS ) rose to EUR 3.68 from EUR 0.50 .	3.68	3
Editor 's note : Grimaldi generated a 1.7 bln euro ( $ 2.182 bln ) turnover in 2005 , ANSA reported on May 29 , 2006 .	2.182	35
EPS from continuing operations came in at 0.30 eur , up from 0.17 .	0.30	3
Equity ratio was 60.9 % compared to 54.2 % In the third quarter of 2007 , net sales of the Frozen Foods Business totaled EUR 11.0 , up by about 5 % from the third quarter of 2006 .	11.0	3
Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit rose to EUR 24.1 million ( USD 33.6 m ) in the third quarter of 2010 from EUR 17.9 million a year earlier .	33.6	36
Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 .	56.8	35
Finnish lifting equipment maker Konecranes Oyj said on July 30 , 2008 that its net profit rose to 71.2 mln euro ( $ 111.1 mln ) for the first half of 2008 from 57.1 mln euro ( $ 89.1 mln ) for the same period of 2007 .	111.1	35
Finnish metal industry solutions supplier Outotec Oyj net profit rose to 50.4 mln euro ( $ 72.5 mln ) for the first nine months of 2007 from 20.1 mln euro ( $ 28.9 mln ) for the same period of 2006 .	72.5	35
Finnish metal products company Componenta Oyj net profit rose to 26.1 mln euro ( $ 35.9 mln ) for the first quarter of 2007 from 5.3 mln euro ( $ 7.3 mln ) for the same period of 2006 .	35.9	35
Finnish office supplies and computer accessories dealer Beltton-Group Plc said its net profit rose to 1.3 mln euro ( $ 1.7 mln ) in 2006 from 1.13 mln euro ( $ 1.5 mln ) in 2005 .	1.7	35
Finnish security and privacy software solutions developer Stonesoft Oyj said on January 7 , 2008 that the preliminary sales of its StoneGate products grew by 59 pct year-on-year to 3.6 mln euro ( $ 5.3 mln ) for the fourth quarter of 2007 .	5.3	35
Finnish software developer Done Solutions Oyj said its net profit increased to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 mln ) in 2005 .	4.6	35
First quarter underlying operating profit rose to 41 mln eur from 33 mln a year earlier .	41	3
HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an increase of 10.8 pct year-on-year .	659.4	3
Ragutis , which is controlled by the Finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent market share .	10.44	27
In December alone , the members of the Lithuanian Brewers ' Association sold a total of 20.3 million liters of beer , an increase of 1.9 percent from the sales of 19.92 million liters in December 2004 .	20.3	27
In January-September 2009 , the Group 's net interest income increased to EUR 112.4 mn from EUR 74.3 mn in January-September 2008 .	112.4	3
In Q1 of 2010 , Bank of +_land 's net interest income increased from EUR 9.1 mn to EUR 9.7 mn .	9.1	3
In Sweden , operating profit for the period under review totaled EUR 3.4 mn , up 30.8 % from the corresponding period in 2005 .	3.4	3
In the second quarter of 2010 , the group 's net profit rose to EUR 3.1 million from EUR 2.5 million in April-June 2009 .	3.1	3
In the third quarter , net sales increased by 12 % year-on-year to EUR 159.5 million , or by 6 % at comparable currency rates growth .	159.5	3
Incap estimates it will generate a revenue of 10 mln euro ( $ 13.2 mln ) from its Indian operations for 2007 .	13.2	35
Kesko Agro Eesti , the retailer and wholesaler of grain , agricultural and warehousing machinery and accessories , had net sales of 81 million euros in 2007 , an increase by one-tenth over the preceding year .	81	3
( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit rose to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 .	4.5	36
( ADP News ) - Feb 12 , 2009 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today its net profit rose to EUR 8.5 million ( USD 11m ) in 2008 from EUR 7 million in 2007 .	8.5	36
( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .	2009	13
( ADP News ) - Nov 5 , 2008 - Finnish electronic measurement products and solutions maker Vaisala Oyj ( OMX : VAIAS ) said today that its net profit rose to EUR 18 million ( USD 23.1 m ) for the first nine months of 2008 from EUR 1	23.1	36
( ADP News ) - Oct 29 , 2008 - Finnish lifting equipment maker Konecranes Oyj ( OMX : KCR1V ) said today that its net profit rose to EUR 116.6 million ( USD 149.1 m ) in the first nine months of 2008 from EUR 73.6 million for the s	149.1	36
Net interest income increased by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 .	31.4	3
Net interest income was EUR 152.2 mn , up from EUR 101.0 mn in 2008 .	152.2	3
Net interest income was EUR 39.3 mn , up from EUR 32.7 mn .	39.3	3
Net sales of the Vegetable Oil Business rose to EUR 10.6 mn from EUR 10.1 mn .	10.6	3
Nokia Multimedia 's net sales totaled EUR 5.7 bn , up 45 % from the corresponding period in 2005 .	5.7	3
Operating income rose to EUR 696.4 mn from EUR 600.3 mn in 2009 .	696.4	3
Operating profit of Kauppalehti group rose to EUR 1.5 mn from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006 .	1.5	3
Operating profit rose from EUR 1.94 mn to EUR 2.45 mn .	1.94	3
Operating profit rose to 22.1 mln eur from 19.9 mln .	22.1	3
Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 .	1.6	3
Operating profit rose to EUR 103.4 mn from EUR 23.2 in the corresponding period in 2006 .	103.4	3
Operating profit rose to EUR 13.5 mn from EUR 9.7 mn in the corresponding period in 2006 .	13.5	3
Operating profit rose to EUR 26.7 mn from EUR 14.9 mn in the corresponding period in 2006 .	26.7	3
Operating profit rose to EUR 27.8 mn from EUR 17.5 mn in 2008 .	27.8	3
Operating profit rose to EUR 3.2 mn from EUR 1.0 mn in the corresponding period in 2008 .	3.2	3
Operating profit rose to EUR 4.7 mn from EUR 3.6 mn .	4.7	3
Operating profit rose to EUR 4.7 mn from EUR 4.6 mn .	4.7	3
Operating profit rose to EUR 9.2 mn from EUR 6.8 mn in the corresponding period in 2007 .	9.2	3
Operating profit totaled EUR 37,7 mn , up slightly from EUR 37.2 mn in the corresponding period in 2006 .	37,7	3
Operating profit totaled EUR 5.5 mn , up from EUR -0.7 mn .	5.5	3
Operating profit was EUR 11.4 mn , up from EUR 7.5 mn .	11.4	3
Operating profit was EUR 139.7 mn , up 23 % from EUR 113.8 mn .	139.7	3
Order intake grew by 40 % year-on-year and 30 % year-on-year , respectively , to EUR 576 million and EUR 1.7 billion for the respective January-September and July-September 2010 periods .	576	3
Passenger-related revenue rose by 5.1 % to EUR 460.8 mn from EUR 438.5 mn in 2009 .	460.8	3
Pretax profit rose to EUR 0.6 mn from EUR 0.4 mn in the corresponding period in 2005 .	0.6	3
Pretax profit rose to EUR 1,019 mn from EUR 1,007 in the corresponding period in 2005 .	1,019	3
Pretax profit rose to EUR 17.8 mn from EUR 14.9 mn in 2005 .	17.8	3
Pre-tax profit totaled EUR 397.4 mn , up from EUR 164.7 mn .	397.4	3
Profit for the period totaled EUR 39.4 mn , up from EUR 33.9 mn in the corresponding period in 2006 .	39.4	3
Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .	5.9	3
Profit for the period was EUR 9.8 mn , up from EUR 6.0 mn in 2004 .	9.8	3
Sanoma Magazines Finland 's net sales grew to EUR 140.1 mn from EUR 131.8 mn .	140.1	3
Satama 's net profit for the third quarter of 2007 rose to 275,000 euro ( $ 395,000 ) from 270,000 euro ( $ 388,000 ) for the same period of 2006 .	395,000	35
The chain posted sales of 298 million euros for full 2005 , a rise of 19.5 percent , year-on-year .	298	3
The company is in the process of building a new fleet and has placed orders for 10 P-Max tankers of 65,200 dwt .	10	99
The company 's operating income ( EBIT ) totalled EUR 0.0 mn , up from EUR -0.3 mn year-on-year .	0.0	3
The fair value of the investment properties totaled EUR 2,534.9 mn , up from EUR 2,455.1 mn in 2006 .	2,534.9	3
The Finnish government announced Wednesday that it sold a 32 percent stake in chemicals and fertilizer group Kemira Oyj for (  x20ac ) 655.6 million ( $ 890US million ) , sending the company 's share price up 6 percent .	655.6	35
The firm generated sales of 187 mln eur in 2005 .	187	3
The Helsinki-based company , which also owns the Salomon , Atomic and Suunto brands , said net profit rose 15 percent in the three months through Dec. 31 to (  x20ac ) 47 million ( $ 61US million ) , from (  x20ac ) 40.8 million a year earlier .	47	35
The operating profit for Grain Trading increased to EUR 2.0 mn from EUR 1.4 mn in 2005 .	2.0	3
This new representation extends Comptel 's global presence to a total of 18 countries , serving over 250 customers in over 80 countries worldwide .	18	6
Vacon 's cash flow from operations grew to EUR 37.1 mn from EUR 21.9 mn a year ago .	37.1	3
Vacon will supply drives to Ruselprom in the power range from 200 kW up to 2 MW .	200	29
With the extension of the new contract for a further eight engines , the plant will now produce over 100 MW , it said .	100	43
Cash flow from operations rose to EUR 52.7 mn from EUR 15.6 mn in 2007 .	52.7	3
Commission income rose by 25.7 % to EUR 16.1 mn from EUR 12.8 mn in 2004 .	16.1	3
Earnings per share EPS rose to EUR 0.11 from EUR 0.03 .	0.11	3
EPS for the quarter came in at 0.36 eur , up from 0.33 eur a year ago and ahead of forecast of 0.33 eur .	0.36	3
EPS grew to 0.04 eur from 0.02 eur .	0.04	3
Finnish investment group Panostaja Oyj said its net profit went up to 8.6 mln euro $ 11.4 mln in fiscal 2005-06 , ended October 31 , 2006 , from 2.8 mln euro $ 3.7 mln in the same period of fiscal 2004-05 .	11.4	35
Finnish metal components supplier Componenta Oyj said its net profit went up to 3.5 mln euro $ 4.5 mln in 2006 from 2.2 mln euro $ 2.8 mln in 2005 .	4.5	35
Fiskars Brands report net sales of EUR 145.8 mn , up from EUR 138.4 mn .	145.8	3
HELSINKI AFX - Outokumpu Technology said it has signed a 3.5 mln eur agreement with Mongolia 's Erdenet Mining Corporation for the engineering of the first HydroCopper plant to be built at the Erdenet mine site .	3.5	3
In January-September 2007 , the group 's net sales from continuing operations rose to EUR 213.1 mn from EUR 172.6 mn in the corresponding period in 2006 .	213.1	3
In July-September 2008 , YIT 's net sales increased to EUR 970.8 mn , compared to EUR 906.8 mn in the corresponding period in 2007 .	970.8	3
Last year 's net sales rose to EUR 68.3 million from EUR 62.2 million .	68.3	3
Last year the company raised its turnover to approximately 7 million litas EUR 2 mln , from 6.1 million litas in 2004 .	2	3
Net sales went up by 1 % year-on-year to EUR 29 million , affected by the business acquisitions , realized during the previous financial period , the effect of which was EUR 5.1 million on the review period .	29	3
October-December sales were 302 mln eur , or a 25.3 pct increase year on year .	302	3
Olvi , which controls a 94 percent stake in Ragutis through A. Le Coq , said in its annual report published earlier this year that the Lithuanian brewery 's sales reached 15.04 million euros last year , a rise of 20.4 percent from 12.49 million euros in 2004 .	15.04	7
Operating profit increased to EUR 14.0 mn from EUR 4.9 mn in the corresponding period in 2005 .	14.0	3
Operating profit totalled EUR 83.0 mn , up from EUR 23.5 mn year-on-year .	83.0	3
Production capacity will increase from 36 000 to 85 000 tonnes per year and the raw material will continue to be recycled paper and board .	000	7
Profit for the period increased from EUR 2.9 mn to EUR 10.5 mn .	2.9	3
Profit per share was EUR 1.03 , up from EUR 0.87 .	1.03	3
The company is now intensifying its smelter operations and increasing its annual production capacity to 230,000 tonnes of copper .	230,000	4
The earnings per share for the quarter came in at 0.25 eur , up from the 0.20 eur of the same quarter a year earlier .	0.25	3
The Finnish supplier of BSS-OSS and VAS for telecom operators , Tecnotree , has received expansion orders worth a total US$ 7.3 mn for its convergent charging and next generation messaging solutions in Latin America , the company announced without specifying which operators had placed the orders .	7.3	70
The pretax profit of the group 's life insurance business increased to EUR 36 million from EUR 27 million .	36	3
The total delivery volume of paper businesses in 2010 was 1,155,000 tonnes , up from 1,132,000 tonnes in 2009 .	1,155,000	4
The upgrade is intended to raise the network capacity from 450 MHz to 630 MHz in several cities , enabling bi-directional services for digital television as well as broadband data .	450	11
According to its notice , Skandinaviska Enskilda Banken AB publ Helsinki Branch has on 10 August 2009 divested in total 11,958,000 Alma Media shares to Ilkka-Yhtyma Oyj and Kaleva Kustannus Oy , as the conditions of the agreement made by the companies on 1 July 2009 fulfilled .	11,958,000	5
Lead production , in turn , should increase to 60,000 tonnes through 2009 in what would be a twofold increase from current capacity levels , Zahariev said .	60,000	4
4 ) Complete name of the shareholder : Otto Henrik Bernhard Nyberg 5 ) Further information : The amount of shares now transferred corresponds to 5.68 % of the total number of shares in Aspo Plc. .	5	80
Compared with the FTSE 100 index , which rose 36.7 points ( or 0.6 % ) on the day , this was a relative price change of -0.2 % .	36.7	24
Compared with the FTSE 100 index , which rose 51.5 points ( or 0.9 % ) on the day , this was a relative price change of -0.6 % .	51.5	24
Compared with the FTSE 100 index , which rose 94.9 points ( or 1.6 % ) on the day , this was a relative price change of -0.4 % .	94.9	24
Finnish business software group AffectoGenimap Oyj said it had signed an agreement to acquire all the shares in Swedish sector company Intellibis Ab for 12 mln euro ( $ 15.8 mln ) on a debt-free basis .	15.8	35
It has some 30 offices worldwide and more than 90 pct of its net sales are generated outside Finland .	30	14
Production capacity will rise gradually from 170,000 tonnes to 215,000 tonnes .	170,000	4
The OMX Nordic 40 ( OMXN40 ) index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed up 0.43 % at 1,138.84 points on Wednesday .	1,138.84	24
The OMX Nordic 40 ( OMXN40 ) index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed up 1.29 % at 1,084.47 points on Friday .	1,084.47	24
TietoEnator signed an agreement to acquire Indian research and development ( R&D ) services provider and turnkey software solutions developer Fortuna Technologies Pvt. Ltd. for 21 mln euro ( $ 30.3 mln ) in September 2007 .	30.3	35
Under the terms of the off-take agreement with Talvivaara , Cameco will provide an up-front investment , to a maximum of $ 60 million , to cover the construction cost of the uranium extraction circuit .	60	35
A corresponding increase of 85,432.50 euros in Ahlstrom 's share capital has been entered in the Trade Register today .	85,432.50	3
As the largest elevator market in the world , Chinese output of elevators continued to rise to 262,000 units in 2009 , up about 5 % yr-on-yr .	262,000	15
Compared with the FTSE 100 index , which rose 28.3 points or 0.5 % on the day , this was a relative price change of 2.3 % .	28.3	24
Earnings per share EPS are seen at EUR 0.56 , up from EUR 0.38 .	0.56	3
In 2008 , it generated net sales of EUR 9.3 million USD 13.1 m .	13.1	36
The broad-based WIG index ended Thursday 's session 0.1 pct up at 65,003.34 pts , while the blue-chip WIG20 was 1.13 down at 3,687.15 pts .	65,003.34	24
The business to be divested generates consolidated net sales of EUR 60 million annually and currently has some 640 employees .	60	3
The company generates net sales of about 600 mln euro $ 775.5 mln annually and employs 6,000 .	775.5	35
The corresponding increase in the share capital , in total EUR 300,00 was registered in the Finnish Trade Register on May 8 , 2008 .	300,00	3
The corresponding increase in the share capital due to these subscriptions with the warrants , in total EUR 1,860.74 , was registered with the Finnish Trade Register on January 4 , 2008 .	1,860.74	3
The corresponding share capital increase , EUR 1,012,945.50 was entered in the Trade Register today .	1,012,945.50	3
The repayment of EUR 105 million debenture bonds is related to the Company 's previous announcement on October 21 , 2009 to collect irrevocable selling commitments from the holders of its subordinated debenture bonds .	105	3
Tielinja generated net sales of 7.5 mln euro $ 9.6 mln in 2005 .	9.6	35
Tikkurila Powder Coatings has some 50 employees at its four paint plants , which generated revenues of EUR2 .4 m USD3 .3 m in 2010 .	50	0
VNH generates annual net sales of about 5 mln eur and employs 21 people .	5	3
Operating profit was EUR 11.07 mn , up from EUR 8.65 mn .	11.07	3
HELSINKI ( AFX ) - Nokian Tyres reported a fourth quarter pretax profit of 61.5 mln eur , up from 48.6 mln on the back of strong sales .	61.5	3
Ruukki Romania , the local arm of Finnish metal producer Ruukki , increased its capital by 900,000 euro ( $ 1.14 mln ) through cash contribution , it was reported on September 19 , 2006 .	1.14	35
Uponor made an operating profit of EUR 151.0 mn , up from EUR 143.7 mn , which made 2007 a record year .	151.0	3
Sales rose 10 pct to 566 mln eur on the back of strong volume and favourable currency effects .	566	3
Following the increase , Huhtamaki Oyj 's registered share capital is EUR 358,706,290.00 and the number of shares outstanding is 105,501,850 .	358,706,290.00	3
The company has also supplied more than 200 MW of power generating equipment for a number of projects in Papua New Guinea , including 12 engines of the Wartsila 32 type to Lihir Gold .	200	43
`` These tests are part of a larger campaign which includes various customer trials and demonstrations to make LTE on 800 MHz commercially viable by this summer , '' Nokia Siemens head of LTE business line , Reino Tammela , said .	800	11
Sales rose to 300.9 mln eur compared with last year 's 276.1 mln eur and in line with 299 mln eur consensus figure .	300.9	3
The offer of some 30 million shares aimed to raise more than  x20ac 500 million US$ 640 million , was expected to be completed by Oct. 9 , Outokumpu said .	30	5
Finnish Suominen Corporation that specialises in wet wipes , nonwovens , and flexible packaging reports net sales of EUR 44.1 mn in the second quarter of 2010 , up from EUR 43.3 mn in the second quarter of 2009 .	44.1	3
Finnish telecoms software developer Tecnomen Oyj said on December 5 , 2006 it won a $ 3.3 mln ( 2.5 mln euro ) order to supply an expansion of the charging and messaging systems for the mobile and fixed networks of Brasil Telecom .	2.5	3
( ADP News ) - Dec 11 , 2008 - Finnish construction and engineering company Outotec Oyj ( OMX : OTE1V ) said today it won a EUR 28 million ( USD 36.8 m ) order to expand the phosphate concentrator in Siilinjarvi of Norwegian minera	36.8	36
The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .	270.21	27
a January 11 , 2010 EPHC board of directors has approved an increase in the quarterly dividend from $ 0.03 to $ 0.05 per share .	0.03	35
Bilfinger investors cheered the agreement , pushing shares up 7 % , or & euro ; 3.30 , to & euro ; 50.29 , in afternoon trade .	3.30	3
LONDON AFX - Shares in Rautaruukki Corp have been upgraded to ` hold ' from ` sell ' by ABN Amro , with the price target raised to 25.75 eur from 14.5 , said dealers .	25.75	3
Ragutis , controlled by the Finnish brewery Olvi , achieved a 5.7 percent rise in beer sales to 22.6 million liters and held a 10.75 percent market share .	22.6	27
The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .	2,691	12
Mobile phone shipments jumped 26 percent to almost 112 million units , while Finnish company 's global market share rose to 39 percent from 36 percent .	112	15
QPR has an established international customer base , spread over 70 countries in 2009 , and a variety of organizations including banks , manufacturing companies , service companies and government authorities .	70	6
Repair and maintenance business accounted for net sales of EUR 645.3 mn , up from EUR 563.6 mn .	645.3	3
AGJ recorded EUR 43 mln sales in 2006 , most of which was generated by exports to customers in Western Europe , the statement said .	43	3
In the second quarter of 2010 , the group 's pretax loss narrowed to EUR 400,000 from EUR 600,000 .	400,000	3
Finnish fibers and plastic products maker Suominen Corporation said its net loss from continuing operations narrowed to 1.8 mln euro ( $ 2.3 mln ) in 2006 from 3.7 mln euro ( $ 4.8 mln ) in 2005 .	2.3	35
Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said today its net loss narrowed to EUR 500,000 ( USD 680,000 ) in the last quarter of 2010 from EUR 5.3 million for the same period a year earlier .	680,000	36
Finnish sports equipment maker Amer Sports Oyj ( HEL : AMEAS ) said today that its net loss narrowed to EUR 16.9 million ( USD 22.3 m ) in the second quarter of 2010 from EUR 23.2 million in the corresponding period a year earlier .	22.3	36
Finnish steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today its net loss contracted to EUR 49 million ( USD 68.2 m ) for the first nine months of 2010 from EUR 229 million for the same period a year ago .	68.2	36
For the first nine months of 2010 , Talvivaara 's net loss narrowed to EUR 8.3 million from EUR 21.9 million for the same period of 2009 .	8.3	3
In the first nine months of 2010 , the company 's net loss narrowed to EUR 415,000 from EUR 7.4 million for the corresponding period of 2009 .	415,000	3
( ADP News ) - Feb 9 , 2009 - Finnish computer services company Proha Oyj ( HEL : ART1V ) said today its net loss narrowed to EUR 113,000 ( USD 146,000 ) for 2008 from EUR 1.2 million for 2007 .	2009	13
